Iterations,Generation,Generation Average Fitness,Generation Best Fitness,Generation Worst Fitness,Population Size,Population Best Fitness
30,1,13636,19570,7835,30,1835
40,2,11653,24950,3315,40,1835
50,3,12398,28950,1860,50,1835
60,4,16047,24855,7180,60,1835
70,5,13950,24995,4795,70,1835
80,6,16022,26760,1495,80,1835
90,7,12593,28825,4805,90,1495
100,8,14338,31070,2220,100,1495
110,9,15155,30710,5535,110,1495
120,10,12497,19525,6780,120,1495
130,11,10868,14185,7115,130,1495
140,12,14386,21625,4590,140,1495
150,13,14327,25125,8225,150,1495
160,14,12074,23050,635,160,1495
170,15,12472,28940,3100,170,635
180,16,7556,13885,390,180,635
190,17,10865,18540,2790,190,390
200,18,12364,23060,6500,200,390
210,19,16093,30925,6020,210,390
220,20,11324,23285,1500,220,390
230,21,19878,29100,10285,230,390
239,22,14531,29105,7155,239,390
248,23,11823,21515,2730,248,390
258,24,19006,28805,7650,258,390
267,25,16766,25425,3915,267,390
277,26,13072,26810,3085,277,390
287,27,14196,27425,4665,287,390
297,28,10855,23075,2215,297,390
306,29,10822,19525,2040,306,390
316,30,15083,24940,5545,316,390
326,31,9011,15885,15,326,390
336,32,16804,28925,885,336,15
346,33,15199,23335,4780,346,15
356,34,12172,30705,2220,356,15
366,35,11455,25320,4665,366,15
375,36,11320,19395,390,375,15
384,37,12051,21745,2915,384,15
394,38,10468,17525,1895,394,15
403,39,17340,27005,3705,403,15
413,40,11456,23040,4545,413,15
423,41,14587,26780,8730,423,15
433,42,10683,19200,4960,433,15
443,43,14905,26910,4590,443,15
453,44,12274,25135,220,453,15
463,45,15603,28735,2715,463,15
473,46,12996,25530,4095,473,15
482,47,17733,30735,1905,482,15
492,48,12194,27405,2455,492,15
502,49,14414,23330,4740,502,15
511,50,12945,26775,95,511,15
521,51,13377,19540,2800,521,15
530,52,13126,23105,7100,530,15
540,53,17760,30710,4325,540,15
550,54,8981,21505,25,550,15
560,55,16239,31315,4895,560,15
568,56,11547,24835,3795,568,15
577,57,11779,24930,2920,577,15
587,58,12450,29330,2450,587,15
596,59,14668,23570,6020,596,15
606,60,14432,25035,2450,606,15
616,61,10976,25450,970,616,15
626,62,11036,21500,4970,626,15
636,63,10242,25220,2455,636,15
645,64,11069,25130,2450,645,15
655,65,8749,21305,890,655,15
664,66,17012,25535,1485,664,15
674,67,10114,17205,2220,674,15
683,68,11660,25135,3640,683,15
693,69,10602,19340,2710,693,15
703,70,9491,17215,1910,703,15
713,71,18119,29335,7980,713,15
722,72,12137,23490,6520,722,15
732,73,10886,17295,3920,732,15
741,74,12647,21140,1920,741,15
749,75,11988,21150,2420,749,15
758,76,14885,26770,5690,758,15
768,77,13039,23050,4325,768,15
777,78,10144,15690,6400,777,15
787,79,14569,26880,975,787,15
796,80,13752,25205,3665,796,15
806,81,11063,29330,3800,806,15
815,82,18137,28745,5540,815,15
824,83,15236,25205,4965,824,15
834,84,14313,26770,2720,834,15
844,85,17270,27020,7175,844,15
853,86,12893,27170,3080,853,15
862,87,13251,27205,6135,862,15
870,88,11817,23195,1900,870,15
880,89,12573,25215,6010,880,15
889,90,15139,21495,8950,889,15
899,91,20295,28940,11465,899,15
909,92,15124,27375,900,909,15
918,93,12314,25440,4785,918,15
927,94,13635,27010,7130,927,15
936,95,13575,25045,5735,936,15
945,96,13810,27015,3900,945,15
955,97,12805,24840,5740,955,15
964,98,13350,23175,1925,964,15
972,99,14299,30790,4665,972,15
981,100,12333,25215,220,981,15
988,101,10145,21305,3860,988,15
997,102,14902,30715,6230,997,15
1007,103,14729,31100,4280,1007,15
1015,104,15757,29120,7110,1015,15
1025,105,13743,21740,7605,1025,15
1035,106,11845,21145,6710,1035,15
1045,107,10866,25040,3670,1045,15
1055,108,12021,26880,3320,1055,15
1065,109,12562,25210,1835,1065,15
1075,110,14773,26900,3325,1075,15
1084,111,17390,28740,6800,1084,15
1094,112,15988,23725,8265,1094,15
1104,113,11320,25140,2795,1104,15
1113,114,11188,21355,1835,1113,15
1120,115,13426,24845,5460,1120,15
1130,116,15131,23310,6885,1130,15
1140,117,14553,23315,5625,1140,15
1150,118,13247,27410,2230,1150,15
1160,119,15752,27185,8975,1160,15
1169,120,14927,31090,2220,1169,15
1177,121,15544,28815,5535,1177,15
1186,122,12630,25015,3645,1186,15
1196,123,12701,26890,4670,1196,15
1205,124,13569,25540,4790,1205,15
1214,125,13167,23090,4745,1214,15
1223,126,15339,23355,3340,1223,15
1231,127,12983,23520,985,1231,15
1240,128,10890,24820,6240,1240,15
1250,129,11058,23180,2915,1250,15
1260,130,14879,21640,4960,1260,15
1270,131,11882,31310,210,1270,15
1279,132,16529,23730,7340,1279,15
1289,133,15719,28945,3250,1289,15
1299,134,12341,19355,7835,1299,15
1309,135,16649,28935,8535,1309,15
1318,136,14967,24850,4770,1318,15
1326,137,12425,23460,1850,1326,15
1336,138,9640,15485,4045,1336,15
1346,139,8662,13490,4330,1346,15
1355,140,10553,27030,3260,1355,15
1365,141,9609,13605,5170,1365,15
1375,142,13601,23515,875,1375,15
1385,143,9892,19595,25,1385,15
1395,144,15134,24895,3810,1395,15
1405,145,17476,28735,1085,1405,15
1413,146,14544,23575,235,1413,15
1422,147,13693,25310,4040,1422,15
1432,148,14208,24925,5650,1432,15
1441,149,13360,23165,3640,1441,15
1449,150,16305,31075,410,1449,15
1459,151,15545,23470,5470,1459,15
1469,152,15201,31100,2785,1469,15
1479,153,14836,26960,3925,1479,15
1489,154,13301,30705,2725,1489,15
1498,155,16663,25020,6900,1498,15
1507,156,12467,21315,6705,1507,15
1516,157,12455,23455,885,1516,15
1525,158,11673,21225,2715,1525,15
1535,159,15595,25195,6595,1535,15
1542,160,12682,23170,85,1542,15
1552,161,12871,24825,95,1552,15
1559,162,13296,29110,3340,1559,15
1569,163,14222,21050,6730,1569,15
1578,164,15279,23170,955,1578,15
1587,165,13032,25550,5920,1587,15
1597,166,15008,25215,8000,1597,15
1607,167,11026,24915,2895,1607,15
1614,168,14943,25020,4020,1614,15
1622,169,15269,29105,7015,1622,15
1631,170,12496,26895,3875,1631,15
1641,171,11959,23175,3350,1641,15
1648,172,11111,23570,2900,1648,15
1656,173,12787,25020,1080,1656,15
1663,174,14362,31315,6485,1663,15
1671,175,11887,21515,3795,1671,15
1681,176,14932,28750,5165,1681,15
1690,177,12404,23100,5135,1690,15
1699,178,14307,25430,15,1699,15
