Iterations,Generation,Generation Average Fitness,Generation Best Fitness,Generation Worst Fitness,Population Size,Population Best Fitness
60,1,4615,8970,35,60,105
70,2,2047,3780,15,70,35
80,3,1266,3915,20,80,15
88,4,1708,3870,20,88,15
96,5,1343,2725,95,96,15
106,6,2663,4615,890,106,15
115,7,1522,2915,5,115,15
124,8,1865,3685,85,124,5
130,9,1437,2810,90,130,5
138,10,2070,3745,25,138,5
144,11,876,1910,10,144,5
152,12,950,1915,25,152,5
158,13,589,1925,10,158,5
163,14,1296,4555,5,163,5
168,15,1300,3680,20,168,5
174,16,1674,3655,20,174,5
180,17,862,2710,5,180,5
186,18,1213,2730,10,186,5
192,19,1498,3660,10,192,5
196,20,2124,4555,70,196,5
201,21,774,3735,0,201,5
206,22,1652,4525,5,206,0
