Iterations,Generation,Generation Average Fitness,Generation Best Fitness,Generation Worst Fitness,Population Size,Population Best Fitness
60,1,5224,10315,620,60,3085
70,2,4104,9335,2030,70,620
80,3,3788,5610,2215,80,620
90,4,2812,5140,80,90,620
99,5,2899,4680,220,99,80
108,6,2375,4575,85,108,80
118,7,1738,3305,85,118,80
127,8,2051,4910,15,127,80
135,9,1578,2915,210,135,15
143,10,1306,4045,85,143,15
153,11,1700,3740,215,153,15
160,12,1274,3730,15,160,15
170,13,1725,3090,5,170,15
177,14,1940,4545,15,177,5
185,15,1708,3660,15,185,5
191,16,1217,2780,15,191,5
198,17,2441,4730,895,198,5
205,18,1064,4745,10,205,5
213,19,1063,2720,5,213,5
218,20,1312,2720,75,218,5
224,21,1854,4610,10,224,5
228,22,1322,2715,15,228,5
233,23,1484,4615,15,233,5
236,24,1583,3665,5,236,5
241,25,2123,4540,15,241,5
244,26,794,2715,10,244,5
251,27,780,1915,0,251,5
257,28,1864,3670,70,257,0
