Iterations,Generation,Generation Average Fitness,Generation Best Fitness,Generation Worst Fitness,Population Size,Population Best Fitness
60,1,11967,31110,1495,60,385
69,2,10181,15835,2445,69,385
79,3,8992,12800,4265,79,385
88,4,9007,15115,2445,88,385
96,5,8806,21510,1495,96,385
106,6,8709,17815,1505,106,385
114,7,6499,10735,635,114,385
121,8,7140,10710,2445,121,385
127,9,7304,10535,2445,127,385
136,10,7183,15960,2460,136,385
145,11,6294,12210,2460,145,385
153,12,7073,14015,2440,153,385
158,13,6001,8960,620,158,385
165,14,6199,15360,1510,165,385
169,15,5403,12750,625,169,385
175,16,5554,10335,615,175,385
179,17,6096,13510,635,179,385
180,18,4523,10335,620,180,385
183,19,5356,12160,615,183,385
186,20,5259,12160,635,186,385
188,21,4704,10335,615,188,385
189,22,5890,12160,1495,189,385
191,23,5080,13435,625,191,385
191,24,5673,10335,615,191,385
191,25,4857,10335,620,191,385
194,26,6040,10335,2455,194,385
195,27,4202,8500,1490,195,385
198,28,4303,12140,620,198,385
199,29,5125,10335,1510,199,385
201,30,5035,12160,1510,201,385
201,31,4674,12160,620,201,385
202,32,5585,10335,635,202,385
203,33,5662,12160,1510,203,385
204,34,5221,12160,630,204,385
204,35,5133,12140,620,204,385
206,36,4120,8510,635,206,385
207,37,4759,12145,620,207,385
207,38,5133,12160,635,207,385
207,39,5305,10325,1500,207,385
208,40,4657,7525,625,208,385
208,41,4574,10335,635,208,385
209,42,3843,8490,635,209,385
210,43,5298,12155,1490,210,385
210,44,4943,12140,635,210,385
211,45,5578,12160,635,211,385
211,46,5401,12160,1510,211,385
211,47,4306,10335,625,211,385
213,48,4668,10330,620,213,385
215,49,5586,10335,1495,215,385
215,50,5124,10335,620,215,385
216,51,4853,10335,1500,216,385
216,52,4577,10330,615,216,385
216,53,5578,10335,1490,216,385
216,54,4306,12160,615,216,385
216,55,5671,12140,1495,216,385
216,56,6413,12160,2460,216,385
217,57,5114,8495,1495,217,385
217,58,4940,12160,1500,217,385
217,59,5036,12150,635,217,385
217,60,4209,8510,630,217,385
217,61,5394,10330,1505,217,385
217,62,4565,10335,635,217,385
217,63,5308,10335,1510,217,385
217,64,4950,10335,625,217,385
217,65,4664,10325,1495,217,385
218,66,4200,12150,635,218,385
218,67,4295,10320,615,218,385
218,68,5490,12160,1495,218,385
218,69,5479,10325,2460,218,385
218,70,5856,12160,2445,218,385
219,71,4480,8510,1510,219,385
219,72,5852,10335,2460,219,385
219,73,4025,8500,625,219,385
219,74,5673,12140,635,219,385
219,75,5039,10335,620,219,385
219,76,6127,12160,1495,219,385
219,77,4392,8495,1495,219,385
219,78,5403,12160,1495,219,385
219,79,5316,10335,620,219,385
219,80,5218,12160,615,219,385
219,81,5491,10335,635,219,385
219,82,4488,10335,615,219,385
219,83,5126,10325,1495,219,385
219,84,5865,12140,1495,219,385
219,85,4845,12140,635,219,385
219,86,5229,10335,2445,219,385
219,87,5393,12150,1495,219,385
219,88,5227,12150,635,219,385
219,89,5393,10335,1510,219,385
219,90,4755,8490,620,219,385
219,91,5498,12145,615,219,385
219,92,5856,10335,1510,219,385
219,93,5393,10335,2440,219,385
219,94,4664,12145,620,219,385
219,95,5498,12155,2445,219,385
219,96,4835,10315,1510,219,385
219,97,3932,8510,635,219,385
219,98,5865,12160,635,219,385
219,99,4569,10335,635,219,385
219,100,5403,12160,1510,219,385
219,101,5400,12140,2440,219,385
219,102,5221,10335,620,219,385
219,103,6420,12160,2450,219,385
219,104,5213,10335,1510,219,385
219,105,3913,5710,1500,219,385
219,106,5761,12150,1510,219,385
219,107,4025,8500,635,219,385
219,108,4394,12160,620,219,385
219,109,5403,12155,635,219,385
219,110,6037,12160,1490,219,385
219,111,5393,10335,2460,219,385
219,112,5035,12160,2440,219,385
219,113,5588,12160,635,219,385
219,114,5402,10335,1495,219,385
219,115,5873,12140,620,219,385
219,116,3747,10315,625,219,385
219,117,4930,10335,2440,219,385
219,118,5395,10335,1510,219,385
219,119,4863,10335,630,219,385
219,120,4480,8510,1505,219,385
219,121,4479,8510,635,219,385
219,122,6038,12160,2455,219,385
219,123,5488,12160,2440,219,385
219,124,4025,10315,615,219,385
219,125,4480,8510,635,219,385
219,126,4393,10335,615,219,385
219,127,5305,12140,2440,219,385
219,128,5133,12155,635,219,385
219,129,4863,10335,635,219,385
219,130,5297,8510,2440,219,385
219,131,4381,7515,2445,219,385
219,132,4943,10335,1490,219,385
219,133,4208,12145,635,219,385
219,134,4207,8500,635,219,385
219,135,5033,8510,635,219,385
219,136,5679,10335,2440,219,385
219,137,5758,12155,1510,219,385
219,138,4943,10335,630,219,385
219,139,4288,10325,620,219,385
219,140,4845,12140,615,219,385
219,141,5961,12155,620,219,385
219,142,5203,10335,1510,219,385
219,143,3751,10325,635,219,385
219,144,4566,10335,635,219,385
219,145,3841,7535,615,219,385
219,146,5308,12160,620,219,385
219,147,5123,12160,2440,219,385
219,148,5113,10335,625,219,385
219,149,4303,10335,2445,219,385
219,150,4383,12145,615,219,385
219,151,4940,12145,1510,219,385
219,152,4755,10335,2460,219,385
219,153,5768,12160,1495,219,385
219,154,4295,8490,620,219,385
219,155,4748,10315,1505,219,385
219,156,5766,12160,2445,219,385
219,157,5497,12150,615,219,385
219,158,4758,10335,620,219,385
219,159,5403,10335,620,219,385
219,160,4846,12155,1490,219,385
219,161,4855,10335,615,219,385
219,162,3384,8510,630,219,385
219,163,4490,10330,635,219,385
219,164,4121,12160,625,219,385
219,165,5681,12160,1510,219,385
219,166,4026,8490,630,219,385
219,167,4208,12160,635,219,385
219,168,5487,12150,2460,219,385
219,169,5306,10335,630,219,385
219,170,4304,8495,1510,219,385
219,171,5596,12140,635,219,385
219,172,4383,8510,615,219,385
219,173,4488,10335,1490,219,385
219,174,4943,12160,620,219,385
219,175,4843,10325,635,219,385
219,176,4671,12140,620,219,385
219,177,5498,12140,615,219,385
219,178,5393,10325,2455,219,385
219,179,4023,7535,625,219,385
219,180,5499,10335,615,219,385
219,181,4750,12150,635,219,385
219,182,5855,12160,615,219,385
219,183,5670,10335,1490,219,385
219,184,4763,12160,635,219,385
219,185,4758,10335,1490,219,385
219,186,5775,12160,2440,219,385
219,187,5396,10335,620,219,385
219,188,4470,8505,1510,219,385
219,189,5961,10335,635,219,385
219,190,5481,12145,615,219,385
219,191,4391,8505,620,219,385
219,192,4381,7535,2460,219,385
219,193,4565,10325,2450,219,385
219,194,5224,10335,620,219,385
219,195,4480,10315,635,219,385
219,196,5395,10335,635,219,385
219,197,4933,10335,625,219,385
219,198,5673,12160,615,219,385
219,199,4746,7520,2440,219,385
219,200,4747,12160,1495,219,385
219,201,4670,10335,620,219,385
219,202,4758,10335,1500,219,385
219,203,4566,8510,635,219,385
219,204,4016,7535,630,219,385
219,205,5684,12160,630,219,385
219,206,5488,10325,2440,219,385
219,207,4932,12160,620,219,385
219,208,4123,10320,615,219,385
219,209,4941,12160,635,219,385
219,210,4758,12155,635,219,385
219,211,5210,10335,1500,219,385
219,212,4663,10335,635,219,385
219,213,5220,10315,1510,219,385
219,214,5498,12160,615,219,385
219,215,4383,8510,630,219,385
219,216,4756,12160,630,219,385
219,217,5028,12150,1510,219,385
219,218,5035,10335,1510,219,385
219,219,3475,5710,615,219,385
219,220,4025,10335,620,219,385
219,221,4393,12160,615,219,385
219,222,5865,10335,635,219,385
219,223,4671,10325,630,219,385
219,224,5306,10335,2445,219,385
219,225,4211,8510,635,219,385
219,226,4305,12160,620,219,385
219,227,3650,5710,1495,219,385
219,228,4303,10325,615,219,385
219,229,4862,10325,620,219,385
219,230,5025,10335,630,219,385
219,231,5863,12155,615,219,385
219,232,5393,10335,615,219,385
219,233,4759,10335,1505,219,385
219,234,4835,10335,1500,219,385
219,235,5760,10335,2440,219,385
219,236,4566,10315,1505,219,385
219,237,5961,12160,615,219,385
219,238,5779,12160,620,219,385
219,239,5496,12155,1495,219,385
219,240,5769,12155,620,219,385
219,241,4671,10335,620,219,385
219,242,5312,12160,2440,219,385
219,243,4488,10325,1490,219,385
219,244,5758,12145,2445,219,385
219,245,4487,10335,1510,219,385
219,246,5036,10325,620,219,385
219,247,5775,12160,635,219,385
219,248,4025,8510,635,219,385
219,249,5220,12140,620,219,385
219,250,5412,10335,615,219,385
219,251,5306,12160,635,219,385
219,252,6315,12160,2460,219,385
219,253,4573,12145,615,219,385
219,254,4852,10335,625,219,385
219,255,5213,10335,635,219,385
219,256,4477,8510,615,219,385
219,257,4757,10315,635,219,385
219,258,4113,12160,1510,219,385
219,259,4950,10335,635,219,385
219,260,4855,12150,1490,219,385
219,261,5583,12155,2440,219,385
219,262,4026,8490,620,219,385
219,263,4671,12160,620,219,385
219,264,5210,12140,630,219,385
219,265,5673,12145,1500,219,385
219,266,5209,12150,615,219,385
219,267,4756,10335,2450,219,385
219,268,5035,10335,625,219,385
219,269,3928,7520,1490,219,385
219,270,4112,8500,615,219,385
219,271,5396,12145,1510,219,385
219,272,5404,10335,1495,219,385
219,273,5487,12160,2440,219,385
219,274,4573,10335,2460,219,385
219,275,4949,10335,625,219,385
219,276,5586,12145,625,219,385
219,277,4933,12160,1495,219,385
219,278,3756,12150,615,219,385
219,279,4468,7520,2440,219,385
219,280,4296,12160,630,219,385
219,281,4193,8490,1490,219,385
219,282,4201,12155,635,219,385
219,283,4750,8510,1510,219,385
219,284,6507,12160,2440,219,385
219,285,5403,10335,2450,219,385
219,286,6684,12160,630,219,385
219,287,5585,12160,635,219,385
219,288,5943,12160,2440,219,385
219,289,5859,10335,1510,219,385
219,290,4197,7535,620,219,385
219,291,5037,10335,1505,219,385
219,292,5120,12150,615,219,385
219,293,4028,10325,635,219,385
219,294,5584,12160,625,219,385
219,295,4670,10335,620,219,385
219,296,5313,12160,620,219,385
219,297,4383,10315,615,219,385
219,298,4015,5710,2440,219,385
219,299,5217,12160,630,219,385
219,300,4113,10315,1490,219,385
219,301,5113,10325,1495,219,385
219,302,5681,10335,2440,219,385
219,303,5035,12150,1510,219,385
219,304,4951,10335,620,219,385
219,305,4574,12160,625,219,385
219,306,5298,12145,630,219,385
219,307,5211,12160,1495,219,385
219,308,5203,10335,1495,219,385
219,309,5228,12160,635,219,385
219,310,4392,12160,635,219,385
219,311,5221,10335,635,219,385
219,312,4113,10335,1510,219,385
219,313,4480,10315,1500,219,385
219,314,5220,12160,635,219,385
219,315,5228,12145,620,219,385
219,316,5762,10335,1495,219,385
219,317,4655,8510,1510,219,385
219,318,5778,10335,2440,219,385
219,319,5210,12155,1510,219,385
219,320,4948,12160,625,219,385
219,321,4758,12160,615,219,385
219,322,5681,12160,2455,219,385
219,323,5673,12160,1510,219,385
219,324,4485,10335,1510,219,385
219,325,5209,10335,2445,219,385
219,326,4016,7535,635,219,385
219,327,4653,12155,1505,219,385
219,328,5218,12160,620,219,385
219,329,5403,10335,635,219,385
219,330,5044,10335,2440,219,385
219,331,4751,10330,1495,219,385
219,332,3937,10335,615,219,385
219,333,4471,12160,1500,219,385
219,334,5295,10335,1505,219,385
219,335,4105,8495,1510,219,385
219,336,5480,12160,1510,219,385
219,337,5213,12160,1490,219,385
219,338,4940,12155,635,219,385
219,339,5028,12160,1490,219,385
219,340,5953,12160,1510,219,385
