Iterations,Generation,Generation Average Fitness,Generation Best Fitness,Generation Worst Fitness,Population Size,Population Best Fitness
60,1,12405,26845,3095,60,30
70,2,12482,23160,2930,70,30
80,3,11321,19300,5925,80,30
90,4,12588,23720,5635,90,30
100,5,17059,27025,3700,100,30
110,6,10431,16670,2230,110,30
120,7,13802,30705,2915,120,30
130,8,11396,19590,4750,130,30
140,9,14501,25545,6535,140,30
150,10,15695,29350,100,150,30
160,11,13596,23110,4320,160,30
170,12,11014,31310,975,170,30
179,13,14978,25420,5850,179,30
189,14,13087,19055,2700,189,30
199,15,13796,19235,8955,199,30
209,16,9185,23520,2915,209,30
218,17,10656,25540,635,218,30
228,18,11917,23145,6405,228,30
238,19,12000,19195,1250,238,30
248,20,12995,31295,5850,248,30
258,21,17616,29120,8210,258,30
268,22,13728,29110,1495,268,30
278,23,16730,26890,4085,278,30
287,24,15719,27140,5295,287,30
296,25,12896,23340,4095,296,30
305,26,9626,23710,20,305,30
315,27,13272,30710,4280,315,20
325,28,15300,24920,7025,325,20
335,29,15980,31330,7825,335,20
344,30,13119,21405,4790,344,20
354,31,15704,28725,3620,354,20
364,32,14947,28825,230,364,20
374,33,15215,23090,7020,374,20
383,34,16096,23520,5605,383,20
393,35,14763,25315,2055,393,20
403,36,12024,23340,2445,403,20
413,37,13810,23315,9540,413,20
422,38,13658,27025,230,422,20
432,39,11523,17610,4665,432,20
441,40,9829,17420,20,441,20
451,41,14827,27370,3800,451,20
461,42,15073,24915,5650,461,20
471,43,9314,25305,2045,471,20
480,44,11780,19075,3315,480,20
490,45,12727,17715,4795,490,20
500,46,11331,27355,4915,500,20
508,47,9516,17290,895,508,20
517,48,13327,28805,5090,517,20
527,49,13149,23520,875,527,20
537,50,11707,26825,2205,537,20
547,51,13847,31085,4935,547,20
557,52,10754,17540,2030,557,20
567,53,12567,28740,4615,567,20
577,54,11299,23465,4960,577,20
586,55,11694,21125,5,586,20
595,56,10379,23150,4050,595,5
605,57,9894,23690,2445,605,5
615,58,14718,28940,5605,615,5
625,59,15565,28950,3720,625,5
635,60,11555,27035,5630,635,5
645,61,14160,27375,6495,645,5
654,62,15888,27210,9830,654,5
664,63,13603,25550,375,664,5
674,64,10599,27375,3340,674,5
682,65,12144,19225,5840,682,5
692,66,13935,29340,4675,692,5
702,67,10841,21225,2440,702,5
711,68,8498,16695,4625,711,5
721,69,11652,21530,600,721,5
730,70,15157,29105,8235,730,5
740,71,13906,27125,3720,740,5
750,72,13871,26825,4540,750,5
759,73,11635,21225,5645,759,5
767,74,13359,30705,1825,767,5
777,75,12436,24935,2435,777,5
787,76,12852,23095,4755,787,5
797,77,12328,21495,4595,797,5
806,78,13463,29330,5835,806,5
815,79,12226,24910,2035,815,5
824,80,12736,31085,1925,824,5
834,81,10100,21405,3320,834,5
843,82,16061,27150,30,843,5
852,83,12874,23090,4325,852,5
862,84,13973,26950,5105,862,5
872,85,14674,22905,3310,872,5
881,86,14356,23145,7495,881,5
890,87,12030,21155,5285,890,5
900,88,9157,27405,3090,900,5
909,89,15076,27195,2915,909,5
919,90,13921,28935,110,919,5
929,91,10546,26750,5530,929,5
938,92,12135,27435,4085,938,5
947,93,12240,23690,2430,947,5
957,94,9553,14930,3335,957,5
967,95,10947,23045,2025,967,5
976,96,14733,29120,6585,976,5
985,97,11268,21630,2210,985,5
995,98,12251,28935,2705,995,5
1003,99,13022,21705,385,1003,5
1013,100,11843,15490,5670,1013,5
1022,101,9091,21730,210,1022,5
1032,102,9819,12200,8210,1032,5
1042,103,14456,27005,2225,1042,5
1051,104,14635,23180,8500,1051,5
1061,105,9893,19810,3255,1061,5
1070,106,12335,24840,3340,1070,5
1079,107,16038,25530,9375,1079,5
1088,108,14125,29325,220,1088,5
1097,109,10184,21325,2225,1097,5
1107,110,12482,23010,2725,1107,5
1116,111,14841,27370,5740,1116,5
1125,112,11743,23715,3320,1125,5
1134,113,14201,30920,5595,1134,5
1144,114,11059,27020,2040,1144,5
1152,115,10049,21320,885,1152,5
1161,116,9449,18475,210,1161,5
1171,117,10023,17525,2050,1171,5
1180,118,12237,19590,2720,1180,5
1190,119,9757,17530,2770,1190,5
1200,120,15375,29115,1920,1200,5
1208,121,10102,29110,2235,1208,5
1217,122,16451,28940,7405,1217,5
1227,123,9904,23195,2925,1227,5
1234,124,12924,25130,0,1234,5
1244,125,18928,29115,15,1244,0
