Iterations,Generation,Generation Average Fitness,Generation Best Fitness,Generation Worst Fitness,Population Size,Population Best Fitness
60,1,15897,29100,5135,60,610
70,2,15310,25435,7635,70,610
80,3,13160,21720,1480,80,610
90,4,13755,23320,7155,90,610
100,5,12009,25450,2795,100,610
110,6,18538,25540,4540,110,610
120,7,15744,31085,1475,120,610
130,8,14790,30695,4035,130,610
140,9,12230,29355,3095,140,610
150,10,13256,28805,4595,150,610
160,11,11714,28830,620,160,610
170,12,18440,28745,9710,170,610
180,13,13285,24940,2785,180,610
190,14,11182,17300,2915,190,610
200,15,9692,17425,2925,200,610
209,16,10668,25230,1495,209,610
219,17,13122,23585,6625,219,610
229,18,13128,19820,2060,229,610
239,19,12502,19355,380,239,610
249,20,13998,25535,4300,249,380
258,21,11298,27005,4630,258,380
268,22,16056,25000,5185,268,380
278,23,13488,23085,4320,278,380
288,24,17573,26895,7685,288,380
298,25,16744,31325,4735,298,380
308,26,14694,25435,1260,308,380
318,27,8809,15945,1470,318,380
327,28,14529,27430,2705,327,380
337,29,10054,15520,385,337,380
347,30,12030,21490,5915,347,380
357,31,12636,29345,2715,357,380
366,32,12475,22965,3870,366,380
376,33,10825,19405,5075,376,380
386,34,10197,23470,1925,386,380
396,35,14037,22965,7975,396,380
406,36,14128,25050,950,406,380
416,37,17190,28925,7035,416,380
426,38,14219,25540,4660,426,380
436,39,8729,17930,385,436,380
446,40,14666,26885,7570,446,380
456,41,15164,23295,7035,456,380
466,42,12946,23695,4960,466,380
475,43,14263,31320,7025,475,380
485,44,15850,26905,7460,485,380
493,45,10863,27025,2705,493,380
502,46,11517,28935,3660,502,380
512,47,11735,22990,3695,512,380
521,48,13652,28810,3105,521,380
531,49,13901,24900,8885,531,380
540,50,11180,22990,2020,540,380
550,51,12445,19410,4960,550,380
560,52,10713,28740,3085,560,380
570,53,12811,21145,3860,570,380
580,54,13202,30785,3780,580,380
589,55,11986,22955,3095,589,380
598,56,11931,16695,5710,598,380
608,57,12071,24930,15,608,380
618,58,13743,25125,6580,618,15
627,59,11529,28735,2440,627,15
635,60,12289,25210,1490,635,15
645,61,14845,21710,6885,645,15
655,62,11850,22935,6575,655,15
665,63,13957,27005,6735,665,15
675,64,10866,15490,5670,675,15
684,65,12128,23030,4325,684,15
693,66,12743,23550,4675,693,15
703,67,14947,26875,6505,703,15
711,68,10606,21475,205,711,15
721,69,12428,23185,2030,721,15
729,70,12934,23345,1925,729,15
739,71,12581,25030,2450,739,15
749,72,14687,31305,4665,749,15
757,73,15286,29130,5080,757,15
767,74,13079,19530,2775,767,15
777,75,9095,17405,2800,777,15
787,76,16300,26875,5195,787,15
797,77,14085,23305,3645,797,15
806,78,14069,23160,4750,806,15
816,79,14458,25460,7605,816,15
823,80,14198,28920,2440,823,15
832,81,9903,21205,5615,832,15
842,82,11549,21255,4960,842,15
852,83,13485,22960,5125,852,15
862,84,10350,15655,605,862,15
871,85,12857,24845,5525,871,15
881,86,13513,25445,5145,881,15
891,87,10248,18685,1830,891,15
901,88,14024,31085,4620,901,15
909,89,12400,25545,2720,909,15
919,90,8912,15130,3660,919,15
929,91,10970,21750,390,929,15
939,92,8318,16130,90,939,15
949,93,11710,28930,620,949,15
959,94,16253,21750,5635,959,15
967,95,14819,27030,5300,967,15
976,96,12450,30715,5625,976,15
984,97,14343,27405,1835,984,15
992,98,14287,23115,9255,992,15
1001,99,12584,21755,3800,1001,15
1011,100,13670,28810,5285,1011,15
1021,101,19023,30915,7785,1021,15
1030,102,11443,21160,5835,1030,15
1038,103,9277,19360,385,1038,15
1048,104,16542,27025,5190,1048,15
1058,105,14919,29110,5640,1058,15
1067,106,13796,28940,90,1067,15
1076,107,18434,30775,6715,1076,15
1086,108,11200,23115,215,1086,15
1096,109,15251,28820,6985,1096,15
1105,110,15358,25545,6925,1105,15
1114,111,9544,19260,895,1114,15
1124,112,20541,31075,4320,1124,15
1134,113,13917,26810,4970,1134,15
1144,114,12270,25035,1840,1144,15
1153,115,12122,23570,3865,1153,15
1162,116,15400,27195,5190,1162,15
1171,117,11371,23485,3265,1171,15
1180,118,12453,21305,2775,1180,15
1190,119,13843,27370,5475,1190,15
1200,120,14751,23725,15,1200,15
1210,121,12727,26845,4965,1210,15
1220,122,12807,25435,2220,1220,15
1229,123,13411,21235,6710,1229,15
1239,124,14075,24930,8700,1239,15
1249,125,13787,24955,15,1249,15
1258,126,11923,19400,6485,1258,15
1267,127,12109,21210,3925,1267,15
1276,128,18142,31100,4915,1276,15
1286,129,14073,25035,6155,1286,15
1295,130,11798,21735,90,1295,15
1305,131,14806,27430,5175,1305,15
1314,132,11640,21105,2800,1314,15
1323,133,10874,30900,1915,1323,15
1333,134,13961,22910,5080,1333,15
1343,135,12675,21330,2210,1343,15
1352,136,13814,21730,7550,1352,15
1362,137,13043,21525,5705,1362,15
1370,138,9264,15555,3855,1370,15
1377,139,13931,27415,1280,1377,15
1386,140,13868,21705,6130,1386,15
1396,141,14561,29120,5450,1396,15
1402,142,9638,16555,220,1402,15
1410,143,11202,23480,1075,1410,15
1419,144,13044,21345,1830,1419,15
1429,145,12999,25215,4795,1429,15
1437,146,10337,21730,25,1437,15
1445,147,15158,30910,3080,1445,15
1453,148,12720,31330,75,1453,15
1463,149,7999,16675,2790,1463,15
1472,150,11025,21105,4615,1472,15
1481,151,11249,23460,85,1481,15
1489,152,12752,21505,965,1489,15
1497,153,16814,23565,7615,1497,15
1506,154,10464,19765,1275,1506,15
1515,155,12657,25435,5745,1515,15
1525,156,14412,26945,5630,1525,15
1533,157,14437,26820,5170,1533,15
1542,158,15187,28815,6500,1542,15
1551,159,12397,29340,3675,1551,15
1561,160,17707,27015,10700,1561,15
1569,161,18483,31075,5185,1569,15
1579,162,12000,27205,2435,1579,15
1589,163,15935,29115,3100,1589,15
1598,164,12127,21705,3790,1598,15
1607,165,12631,21130,2035,1607,15
1616,166,11710,23580,4275,1616,15
1624,167,13591,26890,80,1624,15
1634,168,12782,24920,3470,1634,15
1644,169,12605,25015,3755,1644,15
1654,170,16094,26970,7825,1654,15
1662,171,11657,23515,220,1662,15
1672,172,12136,25455,615,1672,15
1679,173,14284,28815,885,1679,15
1689,174,14872,23280,4575,1689,15
1698,175,11411,25130,2205,1698,15
1708,176,14884,23130,5845,1708,15
1717,177,15864,30800,5140,1717,15
1726,178,14323,25130,3720,1726,15
1734,179,15106,23310,7565,1734,15
1744,180,12883,21490,5545,1744,15
1751,181,10879,25035,3325,1751,15
1761,182,14630,29330,4950,1761,15
