Config_50_MUF_C1P_SLR,Crossing Probability,Mutation Probability,Cycle,Generation,n,F_best,n_least
Config_50_MUF_C1P_SLR,0.1,0.0,0,1,53,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,2,53,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,3,53,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,4,53,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,5,55,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,6,55,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,7,57,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,8,57,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,9,57,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,10,59,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,11,59,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,12,59,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,13,59,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,14,59,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,15,60,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,16,62,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,17,65,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,18,65,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,19,65,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,20,69,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,21,69,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,22,73,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,23,73,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,24,73,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,25,75,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,26,75,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,27,77,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,28,79,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,29,79,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,30,84,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,31,84,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,32,87,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,33,89,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,34,91,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,35,93,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,36,95,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,37,97,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,38,97,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,39,99,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,40,99,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,41,99,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,42,99,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,43,103,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,44,105,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,45,105,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,46,107,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,47,109,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,48,109,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,49,109,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,50,111,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,51,111,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,52,111,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,53,113,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,54,113,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,55,113,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,56,115,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,57,115,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,58,117,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,59,117,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,60,117,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,61,117,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,62,117,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,63,117,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,64,117,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,65,119,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,66,119,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,67,121,1900,50
Config_50_MUF_C1P_SLR,0.1,0.0,0,68,121,1900,50
